"bench","solver","instance","ert"
"rbv2_xgboost","SM",1050,1
"rbv2_xgboost","EA",1050,1.03754433627651
"rbv2_xgboost","RS",1050,211.304807184363
"rbv2_xgboost","OP",1050,211.304807184363
"rbv2_xgboost","SM",469,1
"rbv2_xgboost","RS",469,236.946771600237
"rbv2_xgboost","EA",469,236.946771600237
"rbv2_xgboost","OP",469,236.946771600237
"rbv2_xgboost","SM",23381,1
"rbv2_xgboost","EA",23381,1.0632318501171
"rbv2_xgboost","RS",23381,214.995968825585
"rbv2_xgboost","OP",23381,214.995968825585
"rbv2_xgboost","EA",41157,1
"rbv2_xgboost","SM",41157,1.00563266207709
"rbv2_xgboost","RS",41157,206.162794978463
"rbv2_xgboost","OP",41157,206.162794978463
"rbv2_xgboost","SM",15,1
"rbv2_xgboost","RS",15,217.983651226158
"rbv2_xgboost","EA",15,217.983651226158
"rbv2_xgboost","OP",15,217.983651226158
"rbv2_xgboost","OP",4541,1
"rbv2_xgboost","SM",4541,1.09558823529412
"rbv2_xgboost","EA",4541,1.375
"rbv2_xgboost","RS",4541,4.57352941176471
"rbv2_xgboost","SM",23,1
"rbv2_xgboost","RS",23,226.656413162262
"rbv2_xgboost","EA",23,226.656413162262
"rbv2_xgboost","OP",23,226.656413162262
"rbv2_xgboost","SM",4134,1
"rbv2_xgboost","RS",4134,232.4905550712
"rbv2_xgboost","EA",4134,232.4905550712
"rbv2_xgboost","OP",4134,232.4905550712
"rbv2_xgboost","SM",40927,1
"rbv2_xgboost","OP",40927,1.14285714285714
"rbv2_xgboost","EA",40927,1.22857142857143
"rbv2_xgboost","RS",40927,4.94285714285714
"rbv2_xgboost","SM",40981,1
"rbv2_xgboost","RS",40981,225.198053645394
"rbv2_xgboost","EA",40981,225.198053645394
"rbv2_xgboost","OP",40981,225.198053645394
"rbv2_xgboost","SM",41156,1
"rbv2_xgboost","RS",41156,222.345747637576
"rbv2_xgboost","EA",41156,222.345747637576
"rbv2_xgboost","OP",41156,222.345747637576
"rbv2_xgboost","SM",3,1
"rbv2_xgboost","RS",3,219.032346384011
"rbv2_xgboost","EA",3,219.032346384011
"rbv2_xgboost","OP",3,219.032346384011
"rbv2_xgboost","SM",1049,1
"rbv2_xgboost","RS",1049,219.650911943518
"rbv2_xgboost","EA",1049,219.650911943518
"rbv2_xgboost","OP",1049,219.650911943518
"rbv2_xgboost","SM",40900,1
"rbv2_xgboost","RS",40900,218.921032056294
"rbv2_xgboost","EA",40900,218.921032056294
"rbv2_xgboost","OP",40900,218.921032056294
"rbv2_xgboost","SM",1063,1
"rbv2_xgboost","EA",1063,1.00541597713254
"rbv2_xgboost","RS",1063,210.62133293215
"rbv2_xgboost","OP",1063,210.62133293215
"rbv2_xgboost","OP",23512,1
"rbv2_xgboost","SM",23512,1.80782918149466
"rbv2_xgboost","EA",23512,2.61209964412811
"rbv2_xgboost","RS",23512,9.87722419928826
"rbv2_xgboost","SM",40979,1
"rbv2_xgboost","EA",40979,1.14461615780877
"rbv2_xgboost","RS",40979,234.535326883612
"rbv2_xgboost","OP",40979,234.535326883612
"rbv2_xgboost","SM",1040,1
"rbv2_xgboost","EA",1040,1.04068579214291
"rbv2_xgboost","RS",1040,211.944591628189
"rbv2_xgboost","OP",1040,211.944591628189
"rbv2_xgboost","RS",1068,1
"rbv2_xgboost","SM",1068,1.04246352033716
"rbv2_xgboost","EA",1068,222.655162816588
"rbv2_xgboost","OP",1068,222.655162816588
"rbv2_xgboost","EA",41161,1
"rbv2_xgboost","SM",41161,1.12833099579243
"rbv2_xgboost","OP",41161,1.22791023842917
"rbv2_xgboost","RS",41161,3.90813464235624
"rbv2_xgboost","SM",22,1
"rbv2_xgboost","EA",22,1.40440755580996
"rbv2_xgboost","RS",22,320.549513451631
"rbv2_xgboost","OP",22,320.549513451631
"rbv2_xgboost","SM",1489,1
"rbv2_xgboost","RS",1489,224.107571634384
"rbv2_xgboost","EA",1489,224.107571634384
"rbv2_xgboost","OP",1489,224.107571634384
"rbv2_xgboost","SM",41027,1
"rbv2_xgboost","OP",41027,1.25149700598802
