"bench","solver","instance","ert"
"rbv2_xgboost","RS",3,280000
"rbv2_xgboost","EA",3,280000
"rbv2_xgboost","OP",3,280000
"rbv2_xgboost","SM",3,1278.35
"rbv2_xgboost","RS",1049,280000
"rbv2_xgboost","EA",1049,280000
"rbv2_xgboost","OP",1049,280000
"rbv2_xgboost","SM",1049,1274.75
"rbv2_xgboost","RS",40900,280000
"rbv2_xgboost","EA",40900,280000
"rbv2_xgboost","OP",40900,280000
"rbv2_xgboost","SM",40900,1279
"rbv2_xgboost","RS",1063,280000
"rbv2_xgboost","EA",1063,1336.6
"rbv2_xgboost","OP",1063,280000
"rbv2_xgboost","SM",1063,1329.4
"rbv2_xgboost","RS",23512,277.55
"rbv2_xgboost","EA",23512,73.4
"rbv2_xgboost","OP",23512,28.1
"rbv2_xgboost","SM",23512,50.8
"rbv2_xgboost","RS",40979,280000
"rbv2_xgboost","EA",40979,1366.5
"rbv2_xgboost","OP",40979,280000
"rbv2_xgboost","SM",40979,1193.85
"rbv2_xgboost","RS",1040,280000
"rbv2_xgboost","EA",1040,1374.85
"rbv2_xgboost","OP",1040,280000
"rbv2_xgboost","SM",1040,1321.1
"rbv2_xgboost","RS",1068,1257.55
"rbv2_xgboost","EA",1068,280000
"rbv2_xgboost","OP",1068,280000
"rbv2_xgboost","SM",1068,1310.95
"rbv2_xgboost","RS",41161,278.65
"rbv2_xgboost","EA",41161,71.3
"rbv2_xgboost","OP",41161,87.55
"rbv2_xgboost","SM",41161,80.45
"rbv2_xgboost","RS",22,280000
"rbv2_xgboost","EA",22,1226.75
"rbv2_xgboost","OP",22,280000
"rbv2_xgboost","SM",22,873.5
"rbv2_xgboost","RS",1489,280000
"rbv2_xgboost","EA",1489,280000
"rbv2_xgboost","OP",1489,280000
"rbv2_xgboost","SM",1489,1249.4
"rbv2_xgboost","RS",41027,45.85
"rbv2_xgboost","EA",41027,19.45
"rbv2_xgboost","OP",41027,10.45
"rbv2_xgboost","SM",41027,8.35
"rbv2_xgboost","RS",24,280000
"rbv2_xgboost","EA",24,1323.25
"rbv2_xgboost","OP",24,280000
"rbv2_xgboost","SM",24,895.6
"rbv2_xgboost","RS",4135,1339.25
"rbv2_xgboost","EA",4135,1072.7
"rbv2_xgboost","OP",4135,744.65
"rbv2_xgboost","SM",4135,395.85
"rbv2_xgboost","RS",23517,675.65
"rbv2_xgboost","EA",23517,155
